"GBSid","PH","LW","FT"
2428,143,18.2,87
5584,116,24.6,22
1725,80,10.6,47
4490,175.6,29.5,59
3648,179.6,41.4,77
5307,182.6,20.55,62
4576,162.7,36,67
3789,163,30.3,61
2942,94.75,18.25,48
4787,129.67,26.87,64
2937,111.85,34.42,65
102,177.1,23.7,51
1654,145,23.4,59
621,158.9,23.8,58
5430,135,31.33,40
721,125.22,30.8,57
1465,149,23.5,59
5943,144.2,23.7,56
3318,125.86,36.42,55
2145,128.6,21.6,52
4621,175.4,30.2,61
2906,169.6,32,68
5938,134.9,26,56
2875,101.5,14.5,55
3031,118.55,27.95,27
2886,89,20,73
742,161,32,61
2430,115,17.2,68
2636,131,12.1,71
1854,146,30,54
2447,167.2,20,70
420,153.6,34.7,55
4190,171,27.4,58
1410,141,25.2,50
4744,193.2,30.7,68
1826,126,26.4,41
4745,152.58,23.57,50
1140,155,15.6,58
1893,154,21,52
1072,178.4,33.8,59
1475,165.4,27.44,58
4146,153.2,32.6,56
4839,157.2,34.7,66
168,149.6,28.2,61
516,173,28,77
1464,145.1,32.85,58
2405,182,27,56
5639,99.6,18.6,43
5124,156,29.4,61
4848,162.8,28,62
4520,156.5,29.5,60
2668,140,16,86
5637,65,31,113
1381,172.2,33.3,70
2505,134.3,37,53
657,154.6,26.7,58
1012,183,32.2,55
2613,95.4,33.8,46
429,144.5,23.6,60
4527,167.8,28.72,65
4760,173.1,34.4,62
3719,180.5,32.1,69
793,117.1,24,39
1015,161.8,33.5,69
735,107,15.3,78
1983,170,26.8,64
2760,129.2,30.84,59
2855,90,10,61
1569,145,19.18,72
47,187,30.3,89
1885,197.4,23.5,65
5413,128.55,35.85,38
1809,117.2,31,57
615,111.6,24.1,64
463,137.6,32.1,56
1344,174.6,33.04,58
5352,119.7,25.4,61
472,180.06,28.67850609,77
1562,154.8,27.96,58
1515,125,27.6,48
2482,159.4,32.8,67
2373,144.23,33.19,51
3828,172.6,25.06,58
1960,133.4,19.56,64
1030,138.8,20.74,57
5634,120.5,28,70
5281,156,25,56
5056,111.13,22.07,57
1031,139.6,30.6,55
2223,154.8,23.25,59
5595,133,13.7,75
5955,97.9,31.9,51
1886,196,32.6,60
1172,148.8883721,17.6,NA
2377,117,15.8,68
3458,125.4333333,26.30666667,58
2468,119,32.25,48
2684,146.4,13.2,44
5123,127.2,21.5,60
85,214.2,28.3,62
3457,167.866,29.3,68
2715,123.8,9.5,86
1176,172,35.9,56
5712,123.6666667,22.53333333,61
1305,130.2,35.5,71
1817,154.2,19.2,44
2599,96.5,33.3,50
5297,160,31.8,63
671,114.8,20.2,41
4573,220.8,36.02,58
4820,171.5,33.5,60
5533,110.3,20.1,80
3725,144.2,27.8,58
5452,140.3,35.3,27
6054,200.2,35.2,80
230,163.2,35.76470588,50
3448,158,22.5,50
1988,155,29.6,65
3975,181.94,33.14,63
1870,154.8,19.7,75
4210,129.178,23.9,57
5257,168.5,22.1,62
807,170.2,21.4,62
2970,114.4,31.05,46
2745,103,20.1,69
2925,113,28.8,87
2527,205.8,34.06,63
1208,167.3,25.4,68
4153,139.8,11.4,50
6012,152.6,31.23,46
57,112.4666667,42.1,55
2649,139,6.7,56
277,158,28,51
5115,105.12,41.56,58
2831,100.4,17.6,62
3738,166.4,38.4,59
225,181.6,29,63
163,141.1,26.7,59
1002,157.1,28.5,66
2777,146.4,16,67
5304,142.1,21.16,62
1871,176.1,32.2,65
365,146.7,25.5,63
2877,102.5,11.4,51
28,165.07,31.47,50
442,138.7,27.4,60
4556,191,21.47,59
5974,122.4,22.15,34
72,189.4,27.8,55
4954,154.13,33.73,56
1799,79.6,11.6,NA
5416,116.35,34.8,34
3206,134,39.8,51
5344,122.7,25.64,59
3195,211,29.7,48
1587,109.3,21.4,58
3126,145,35.18,47
4769,168.4,29.9,57
4311,174.5,28.64,62
37,139.466,39.56666667,51
158,127.3,18.6,51
4711,142.2,29.1,73
5317,116.1,19.5,58
2730,142,10.9,58
3665,131.5,20,82
4692,167.9,26.25,83
2269,235.5,22.7,180
2095,186.74,27.38,63
2817,110.2,17,59
1369,146,20.4,66
4170,116.2,31.3,49
2231,131.3,31.7,56
3933,148.6,31.72,45
2545,143.2,16.2,45
1327,159.7,28.76315789,66
