"GBSid","PH","LW","FT"
5135,125.6,20.6,61
3233,201,38,49
723,125.6,25.8,64
177,126,28.3,53
785,100,22.6,44
4085,196.2,34.8,62
2140,120.3,26.2,88
1277,157,26.8,61
4458,157.4,23.2,61
787,181.6,18.4,70
2584,152,26.32,61
2401,127,27.8,37
20,129,24.8,51
4407,184.333,29.28,79
5314,118.47,18.48,38
15,126,32.2,60
5023,132.67,20.87,50
3021,106.8,20.1,53
5766,114.2,20,58
353,175,29,55
380,159,25,64
2751,116,19.8,59
4553,148.834,30.2,63
2553,123.65,31,72
5344,122.7,25.64,59
1953,160,14,69
707,146.7,26.7,66
513,181.8,32.4,64
236,165.2,36.4,47
641,142,23.4,51
2600,128.8,33.3,38
2617,138.4,28.6,71
4617,185.2,35,62
383,169,27.8,53
2023,150.24,28.06,61
5367,138.2,20.6,58
2359,173.13,34.91,55
2643,153,38.6,76
3968,179.3,37.2,50
2854,141.4,31.12,32
5147,142.6,24.88,68
191,115.8,22.7,54
3742,170,26.6,57
3204,144.8,36.68,46
3786,167,23.1,59
4332,234.33,30.4,69
4566,176.8,28.2,69
4927,132.4,22.93,64
3349,161.6,32.3,44
2261,146.1,20.3,51
2798,142,25.2,80
1735,96,15.6,66
5630,130.4,25.8,61
4067,146.4,26.6,60
2947,110.6,35.15,53
466,178.2,32.7,63
3960,128.2,21,66
3140,126,30,53
3273,86.9,33.52666667,54
5333,162.4,18.4,59
4563,186,24.5,69
1709,90,17.4,49
4557,169.4,28.2,62
3121,117.6,34.2,43
2447,167.2,20,70
777,123.4,20.2,59
126,232.4,35,69
5203,156,31.95,70
4970,124,24.67,59
3385,173.8,24.2,50
2168,168.068,23.01333333,55
2040,174.14,35.04,52
2524,143.7,26.7,57
340,129.6,26.4,46
2660,88,12.4,59
744,149.7,28.8,67
1429,157.8,40.1,67
4418,180.66,26.83,59
3616,150,21.6,60
4093,103.6,19.8,52
3314,191.4,34.8,55
792,145.7,16.3,55
2925,113,28.8,87
3098,133.6,38.4,49
2865,127,19.1,66
1537,143.4,30.34,48
3062,193,30.96,59
1162,141.73,35.54,51
5988,136.4,24.35,44
159,129.8,19.3,60
3229,102.4,32.2,48
1523,148.2,36.1,54
4663,135.6,24.3,52
5091,221,28.4,79
3183,152.6,35.24,48
1378,178,32.2,68
432,146.42,24.78,65
1905,155.2,15.18,71
3343,127.86,17.04,52
613,109.6,15.6,59
1600,127.8,38.9,55
361,156.1,29.1,59
480,174.6,34.4,66
4859,135.6,18.4,63
3788,153,23,63
1545,126.2,32.02,51
1411,145.6,23.2,48
2459,145.4,32.3,61
2956,100.3,21.55,42
14,152.8,29.27,59
5080,214.6,28.2,65
5368,134.3,30.75,74
3042,152,42,50
4837,174.4,27,61
2637,129,14.5,70
1242,175.8,35,65
5943,144.2,23.7,56
2306,168.27,35.71,64
720,151.3,18.3,70
5966,168.5555556,19.22,50
3647,155.7,27.75,70
651,125.6,24.6,52
2144,125.9,24.1,45
4560,171.04,30.2,64
5155,113.8,27.04,45
5447,151.8,38.73,34
1986,165.6,21.8,60
2044,205.6,32.66,71
4205,116.4,31.6,69
1979,136.8,11.9,50
2561,161.2,34.6,60
1692,161,24.4,72
3432,121.4,19.4,61
3392,123.4,13.86,44
779,114.7,18,59
2151,131,26.2,55
186,173.4,30.3,51
1217,157.4,30.8,74
4072,149,28.9,70
2396,149,20,67
1093,179.61,37.59,68
2659,103,10.6,62
3660,199.4,31.7,67
3366,157.7,28.2,57
1375,153,22.8,68
1394,105.4,20,60
2916,126.4,23,56
4491,158.7,22.8,61
3882,96.6,22.8,47
1654,145,23.4,59
4382,164.5,31.4,79
4437,183.9,34.39,59
1097,178.7,25.2,69
6055,155.8,24.8,43
2635,170.2,28.6,66
5931,150.9,23.9,59
4389,169.2,36.44,67
1780,92,16.6,50
328,120.53,31.83333333,50
1051,189.4,34.7,60
2307,178.6,35.1,59
5980,199,27.41666667,63
1625,118.5,12.27777778,57
3906,172,31.6,54
4234,140.1,12.2,50
1233,179.4,31.9,75
708,161.4,25.2,72
2289,202.2,34.16,61
4746,204.96,36.27,71
2273,190,31.46,56
1902,160,15,54
2634,161,33.4,61
1081,146.85,35.5,59
4792,142.93,35.67,82
5945,129.2,22.9,48
4413,167.4,17.9,57
823,126.4,15.8,65
3091,111.5,37.58,45
3952,164.8,22.1,56
2641,120,10,73
737,153,27.8,53
4633,183.8,30.7,61
3100,145.4,26.44,70
3601,164,20,70
430,138.2,28.7,60
1543,116.6,20.76,51
505,175.2,29.2,147
174,189.6,41.8,66
1142,144.6,43.8,47
2157,170.67,33.23,72
4697,203.2,30.18,70
4043,147.7,21.4,61
1539,150.4,25.2,54
6030,150.1,23.5,46
1606,136.4,27.8,50
2085,157.26,28.08,53
4735,204.5,32.8,61
2456,179,37.6,69
1914,180,22,54
3802,150.6,24.2,66
4452,174.7,30.1,65
3859,157.8,19.5,101
350,87.6,25.6,46
1017,178.27,33.45720259,60
5952,NA,NA,NA
2556,109.6,20.3,59
2980,113.6,25.7,59
5960,173,23.57,48
4900,108.13,33.2,64
5021,147.13,24.13,68
2509,171,34.2,66
2434,108.62,35.15,66
1652,124,22.6,59
5355,117.5,21.2,59
4811,176,28.9,59
2592,129.6,25.5,50
1684,146.2,12,69
5103,125.8,31.4,45
304,154,29.3,57
4273,146.3,17.7,60
4843,159.6,33.7,59
1176,172,35.9,56
2986,165.38,27.25,51
3587,173.6,40.5,62
3054,178.02,31.3,59
1360,207.6,29.2,72
3312,207,29.6,53
1526,127.6,32.6,51
4698,150,20.55,76
3188,127.3,36.1,46
687,117.1,20.3,35
2813,108,18.4,67
4933,168,33.4,59
1753,207,24.5,67
3070,137.4,41.68,61
2308,164.8,29.3,59
3804,134.2,25.28,54
4706,199.2,30,59
1034,176.13,33.34666667,60
5359,135.8,22.85,59
2589,99.4,31.6,43
2159,132.266,37.66666667,60
2169,140,21.4,56
3702,190.2,35.6,63
2692,158.52,24.2,63
2793,104.4,21.2,65
2293,147.1,29.2,68
4267,176.4,32,60
4319,192.4,35,62.3
2693,129.2,19.4,51
2069,126.2,40.82,63
725,161.7,26.7,63
3013,167.22,28.14,54
1136,155.3,26.1,64
1633,122,19.2,50
2340,175,29.4,71
5005,127.192,21.8,74
4730,177.45,31.78,62
678,99,17.2,43
6046,172.8,13.75,49
4117,160.6,31.7,59
4833,145.1,35.1,63
2842,127,23.8,68
1445,240.8,31.9,69
5183,137,15,58
2166,138.4666667,32.12,55
1403,116.6,32.9,57
3617,153.4,29.9,65
3324,176,35.3,63
4791,122.67,22.47,50
2846,84.8,20.4,59
522,210,27,110
1206,169.5,25.6,64
4569,165.6,20.3,65
6042,178.4,16.55,52
4478,119.2,33.6,64
2729,107,17.3,62
3038,134.75,29.35,55
1145,148.6,21.5,53
4512,138.1,28.1,64
2439,172,21,86
1745,129,46,40
3248,193,37,60
4449,195.8,27.4,74
1000,145.8,28.8,48
2452,177.8,35.8,74
3287,210,24.5,66
5603,160.4,33.6,60
99,130.2,32.9,49
1689,145,24,55
4596,186.1,28,59
3290,197.6,28.8,56
436,147,28.2,60
5168,134.2,36.8,51
179,158.2,40,54
2299,124.9,19.9,52
780,174,20.9,59
4301,167.67,33.13,76
535,162.5,27.8,61
1484,141.8,24.68,48
5028,161.13,31.53,74
4206,130.3,12.8,62
2636,131,12.1,71
402,149.5,21,53
2781,143.78,27.16,NA
2045,141.9,16.74,48
5097,162.3,27,83
1857,197,39.54,69
2027,123.4,24.5,68
13,172,27.76,58
1280,158,23.2,63
4248,132,33.94,58
2927,114.4,26.3,67
4857,161,29.4,84
5337,157.4,24.8,84
1821,126.6,24.6,43
2653,144,22.4,77
3405,130.4,22.2,44
5088,221.4,26,75
3747,176,28.3,63
166,153.6,38.8,48
4547,166,28.8,60
3531,36,12.3,45
249,170.4,38.4,51
3278,129.95,27.02666667,53
3391,148.2,16.8,50
3592,194.4,43.3,58
2278,151.6,34.06666667,65
2861,152.2,23,53
1966,151.98,24.96,71
4915,166.67,30,59
3067,138,39.5,58
271,137,31.2,50
5302,184.7,31.75,77
5645,201,29.3,59
1760,123,30.6,71
3171,156.2,32.3,46
4967,132.93,23.53,59
3195,211,29.7,48
1336,139.8,24.1,66
2862,116.6,20.5,63
580,143.8,30,47
4500,177.4,31.6,68
3773,201,34.6,62
2330,165.8,27.5,62
5706,155.4,24.6,107
3809,169.6,18.78,60
17,145.07,28.4,50
3741,163.5,21,47
3197,137.4,41.24,48
303,142,28.6,62
1290,143,32.32,58
4635,102.2,27.8,73
267,145.8,24.2,62
1788,116.2,19.4,68
4388,179.8,26.2,59
564,111.99,25.8,59
842,129.1,24.02,61
5455,115.25,24.98,35
769,74.2,14.6,26
3120,128.2,33.9,42
6018,142.5,30.81,50
3698,179.6,24.2,59
5351,132.15,25.1,67
1474,114.6,34.2,38
493,170.6,32.7,62
5512,126.75,24,87
5146,134.4,34.7,69
566,125.2,37.2,43
5628,103,27.8,68
3232,128.2,38.5,53
4177,111.6,39.35,48
4781,143.53,24.73,64
134,213.4,25.3,62
116,183.4,37.8,69
201,154.2,38.9,57
2954,143.8,34.55,49
563,126.8,25.6,45
1820,152.2,31.2,48
2379,160,17.4,58
6000,197.6,27.9,53
2645,107.4,34.7,72
1054,193.6,34.56,61
856,148.33,36.45,55
5637,65,31,113
5123,127.2,21.5,60
2174,165.2,27.6,61
1237,179.5,24.2,68
21,178,35.8,65
1256,59.6,15,71
4435,155.7,28.4,62
644,128.6,25.6,47
2597,169.8,29,89
4175,95.45,30.9,39
2331,170,30.8,54
4174,125.1,9.48,51
275,193.8,37.6,57
3795,176,28.2,61
1356,201.8,33.14,65
3611,155,29,59
4264,148.8,39.8,55
2387,95,13.3,60
491,219.2,38.2,65
2026,170.32,23.86,53
5712,123.6666667,22.53333333,61
1165,164.2,32.53333333,52
605,144.2,29.3,37
2102,158.6,21.7,58
2968,93.6,13.27,48
3425,172.2,23.12,58
408,163.3,36.15,52
1118,167,21.3,59
2755,98.02,30.7,61
3871,108.4,19,48
5575,164.4,28.5,72
2969,97.9,31.82,54
5257,168.5,22.1,62
509,162.1,33.95,65
2394,163,17.6,66
1029,177,24,66
1544,113.2,20.36,44
529,175.56,21.34,79
5627,106.6,19.2,61
5187,167,35.2,71
5212,168,29,63
3810,169.6,28.2,66
697,133.2,26.2,45
5290,160,28,65
3141,135.6,34.4,49
1057,164,31.6,60
485,148.9,27.6,66
1053,150.7,25.7,60
2364,129,31.55,66
2574,235.5,27.14,77
151,167.8,28.6,58
2150,150,33,60
4198,133.3,27.6,60
3326,131.64,13.46666667,56
1860,243.32,26.14,82
1634,115.2,20.56,50
1372,161.5,23.4,101
4152,113.3,10.4,43
4359,190.7,21.5,59
5582,122.8,21.8,83
2958,171.9,27.9,53
44,127.4,40.76666667,58
3012,156.6,32.2,38
2904,121.8,24.08,46
5433,143.05,26.76,30
4528,154.13,23.79,60
1287,114.33,22.6,60
1576,107,23.84,43
2543,158.2,35,65
63,197.2,22.36,61
3607,144.13,31.32,57
4470,137.67,31.97,54
4334,213.87,32.53,51
4496,155,23.75,65
3336,162.72,24.16,60
2672,114,13,66
5922,122.4,35,58
394,88.4,25.6,51
5310,145.1,23.75,63
1757,107,18.8,73
1472,143,33.08,54
795,172.2,20.8,74
2817,110.2,17,59
1743,89,17.1,68
4842,156.5,32.1,50
4712,116.3,37.3,64
4546,251.74,25.17,85
288,146.4,22.8,59
819,175.6,14.44444444,70
1975,168.4,32.7,63
2142,127.5,28.1,73
3681,151,29.4,71
4623,155.2,29,67
2763,92.5,20,39
4880,168.6,29.6,66
5158,163.6,31.44,64
3052,162,17.54,60
2436,131,27.3,67
1814,111.7,18.9,56
3061,190.6,32.2,56
847,172.2,14.79487179,75
2445,161.6,29,60
4150,181.3,20.8,84
592,124.4,27.94,43
1361,227.4,35.08,65
1167,161.066,35.86666667,62
1903,157.4,26.18,43
5067,156.9,29.8,80
3534,36,12.3,26
5979,141.75,18.46,40
109,206.6,30.3,68
195,156.6,32.3,49
2621,129.6,29.2,46
1552,122.2,20.8,58
2967,94.85,23.65,53
4364,183.4,35.7,63
1307,125.2,20.6,61
2270,200,37,59
5453,129.875,26.06,36
2687,173.4,33.2,50
4316,153.2,33.72,56
659,145.6,18.6,54
4333,232,35.47,68
3467,171.8,23.6,52
4140,168.3,27.3,75
854,185.4,24.2,62
1614,152.2,39.6,48
4594,160.6,30,62
4690,191,32.5,68
2388,135.4,22.4,68
262,188,35,53
2874,121.7,24.1,41
2313,157.1,35.6,57
2291,177.6,30.1,67
3709,193.6,25.1,68
637,138.9,22.4,56
1166,153.8,32.4,58
1231,121.5,24.1,102
3237,147,17.35294118,53
731,144.7,18.5,74
4184,111,27.1,50
5239,169.33,22.47,72
4643,165.6,26.3,61
589,174.4,25,78
5432,147.2,32.31,44
2311,164,33,57
2814,141.02,30.06,89
4268,186.6,34.2,60
2568,110.4,32.5,59
2032,158,34.4,54
3270,155.2,37.5,53
5348,141.7,18.9,43
2625,88.6,36.8,48
827,155.2,18.9,68
1861,168.4,28.5,61
3570,176.4,39.9,62
811,191,15.8,67
4641,130.8,27.6,62
1728,91,14.8,49
5529,119.3,32.6,80
712,152.2,26.7,74
273,161,35.6,49
4266,109.2,28.2,55
1468,138,26.5,57
4864,170,21.7,67
4732,182.1142,41,62
4259,122.2,17.67,63
2864,100.8,14.6,39
1348,253.4,34.42,84
5089,221,32.6,78
2113,169.22,14.07878788,61
4742,184,24.15,81
7,177.2,29.3,66
2513,174,19.2,65
5572,141.8,27.2,80
2280,136,38,61
5981,157.1,20.05,41
131,162.4,26.2,81
3025,127.15,29.2,45
1621,118.4,33.4,46
2532,157.2,29.76,56
1577,114.6,27,51
1819,158.8,26,47
567,142.4,17.7,37
4383,182.2,22.9,66
88,105.6,23.6,63
2549,105.5,24.1,79
1208,167.3,25.4,68
1115,162,34.8,62
1854,146,30,54
615,111.6,24.1,64
4685,160.06,35.62,64
4180,161.88,34.32,58
4622,177.4,32,61
3421,147,33.6,61
3757,154.4,25.5,63
4231,94.2,23.78,47
1340,204.4,31.46,56
3059,182.4,37,61
4396,160.7,31.08,58
3357,129.64,20.78,49
360,166.2,32.2,62
1594,104.6,27.22,44
2880,123,17.1,102
4681,191.9,27.25,76
4285,168.3,36.65,65
676,132.9,21.6,59
2896,145.2,20.88,51
1222,162.4,26.7,54
4345,203.4,40.15,65
1158,157.73,38.2,57
5644,189,25.1,58
2834,97.8,16.2,57
3115,128,40.7,47
1578,119.5,33.4,55
4065,123.2,27.1,51
2906,169.6,32,68
5374,150.7,28.8,68
804,110,15,90
2405,182,27,56
5336,104,25.45,58
308,144.8,28.8,46
2677,150.4,19.6,67
3618,169.53,34,63
3207,148.8,36.2,46
4514,140.71,23.9,56
4218,159.4,34.2,65
4230,165.3,40.4,60
4858,158.1,29.4,62
1762,146,27.3,61
5444,130,28,45
2886,89,20,73
1008,222.2,37.3,63
1535,133.6,27.6,49
2258,176.4,24.2,60
748,80.4,13.6,55
5216,167.8,37.7,61
70,160,29.5,62
3053,131.92,33.46,62
1453,209.2,34.7,73
1863,203.4,22.7,57
3254,185,33.4,64
5719,132.6666667,21.8,60
4827,155.9,33.3,56
1232,121.2,21.3,100
5258,165.5,14.45,60
3794,211,25.78947368,60
1305,130.2,35.5,71
4227,107.4,27.48,47
2565,165.6,36.7,69
663,191,30,77
3645,209.1,39.3,79
2268,164.2,24.2,59
2811,88.4,21.6,57
4715,181.6,26.85,70
1092,165.6,29.2,59
3816,144.6,18.92,64
3762,174.6,31.9,61
5318,167.5,28.3,63
129,214.4,27.8,71
2361,143.07,33.2,63
5231,178.4,32.5,73
4214,175.2,23.4,76
381,161,25,62
2276,164.488,29.8,71
5933,129.1,21.4,51
5079,216.4,27,78
135,167,20.6,63
4315,148.3,30.5,48
333,82.4,26.8,44
223,150,24.1,68
852,195.8,23.8,75
4135,133.2,33.3,55
5998,165.2,28.63,46
3213,130.6,41.2,49
1655,148,24.2,60
4568,126.4,27.35,61
3152,139,41.3,47
3722,158.6,30.3,64
5473,121.6,27.86,30
364,70.6,26.4,43
3269,243.4,31.8,53
5736,153.6666667,20.13333333,63
1997,148.8,32.8,71
517,190,35,85
1350,228.4,17.6,75
3410,138.4,27.8,59
3414,137.2,20.66,46
1121,178.8,25.74,58
1494,138.4,30.4,58
2103,152.88,19.98,87
3283,136,34.33,49
538,231.2,23.1,93
4468,228.5,43.95,79
4591,180.6,31.8,61
2473,157.53,32.6,58
1243,148.7,34,52
4852,195,29.9,67
6050,118.4,14.26,37
3835,160.4,19.2,67
3749,177.4,34.3,62
1406,164.8,33,66
628,124.7,28.2,41
5983,161.7,22.35,46
3375,146.7,27,57
5915,107.8,25.6,64
4592,152.9,21.5,62
3884,156.8,19.2,64
4656,160,27.8,58
4802,177.16,28.2,56
3874,102.89,31.47333333,38
3765,157.2,28.4,69
2971,124.6,32.95,48
5580,189.3,32.7,83
1947,160,20,52
4489,164.2,33.2,78
165,125.8,29.2,70
4331,192.53,31.73,52
3449,156,27.38,52
74,201,30.8,69
5115,105.12,41.56,58
4254,152.2,28.4,49
4410,182.1,37.4,71
2335,172,29.6,57
5085,219.8,25,79
3895,154.5,33.3,63
506,226.8,33.7,63
87,171,37.96666667,57
3851,219,30.14,62
26,162.8,24.7,53
3712,186.6,34.3,73
4370,170.9,30.24,62
3289,178.89,37.65,50
4505,181.4,34.94,87
2738,143,33.8,40
534,156.6,26.75,56
2965,91.05,36.7,59
2710,136.6,27.3,53
158,127.3,18.6,51
4694,195.8,27.1,71
1731,114,20.6,68
3390,126.5,23.56,57
2225,52.4,7.6,41
454,125.4,20.4,55
5297,160,31.8,63
5173,126,30.3,61
736,127.4,28.5,53
4834,157.4,36,63
1464,145.1,32.85,58
4611,209.37,32.95,64
2609,89.8,37.9,47
3393,164.8,22.3,46
2300,184.6,28,64
5223,170,28.3,65
662,121.24,32.04,48
419,180.4,33.4,60
2855,90,10,61
323,157.93,27.46666667,53
459,158.2,29.33,72
3037,118.8,36.5,64
3593,95.36,13.26,42
2830,97,22.8,73
3079,122.44,36.48,63
2275,243,39.2,182
1364,178.4,27.8,65
5209,167.6,27.5,65
4964,164.6,26.67,79
512,174.6,28.4,71
4061,191.67,28.29,71
5240,133.4,22.6,69
356,141.2,27.8,51
6039,148.2,21,43
293,142,23.4,59
5249,190.2,39.8,64
2850,110.4,18,60
3606,203.6,37.4,77
1913,160,20,66
1921,125,23,45
2111,162.52,37.6,60
3792,164.4,29.5,60
5508,143.75,15.5,75
5624,82,19.3,70
1282,144.6,27.22,50
4667,150.2,31,51
503,160,26.1,59
3446,200,31,56
3784,157,23.7,68
1538,145.2,28.4,51
438,145,25.1,60
555,154.7,36.8,77
889,195.6,23.8,66
2160,148.9753086,32.73,54
1469,156,24.2,60
5243,204.56,32,55
3286,215.4,29.6,55
5441,112.64,23.81,35
5486,134,23,79
5268,150.5,30.2,65
4874,135.6,33,66
1639,120.2,21.4,51
3276,293.8,30.8,65
3356,110.6,31.4,50
1987,153,22.8,64
1894,152,23,43
2431,132.5,12.5,71
2371,139.87,34.1,63
5953,132.5,21.4,48
1613,149,36,70
2239,151.43,29.7,62
5538,102,20,75
1588,126,25.8,60
1611,114.6,31.1,47
5758,171.6666667,26.26666667,62
4102,165.1,22.9,74
3151,125,32.2,49
5049,116.8,22.13,74
3341,124.8,32.6,63
5470,119.42,24.87,38
3708,166.6,28.3,64
5361,154.4,23.2,58
3027,149.6,39.76,53
2756,109,20.6,61
2823,90.2,11.6,53
1542,126,26.46,58
3824,143.6,29,68
1422,123,20.2,63
2503,169.7,30.7,60
2542,107.4,20.2,48
595,117.2,36.24,43
4769,168.4,29.9,57
1798,177.8,24.8,47
95,113,29.4,65
1077,203.6,30.1,62
2303,167,24.2,59
4303,162.1,32.05,50
6041,81.73,9.12,96
3591,211.8,30.3,75
1279,174.61,32.17,72
4191,104.6,30.6,38
661,201.6,29.6,58
4114,188.4,21,72
3705,182.8,30.8,66
4862,143.3,25.6,68
2558,173.4,30.2,73
1325,182,33.2,65
5280,153.9,29.6,60
743,174.2,42,53
1989,162.4,22.6,59
5221,179.7,32.2,56
4688,181.1,35.1,71
241,138.8,32.9,53
4084,175.6,23.65,70
1916,136.4,31.92,66
2825,97,18.6,60
4777,138.54,28.13,74
3615,148,19.4,63
1771,105,16.2,42
3064,162,34.58,59
3114,147.2,32.88,44
2322,130.83,31.65555556,52
1398,118,12.8,54
3113,136,37.24,49
3994,158,23,62
3676,162,29.5,75
3579,164,10.9,61
