"GBSid","PH","LW","FT"
6017,162.7,28.5,53
1608,113.2,34.1,41
147,188.8,32.4,54
1977,179,18.9,60
4484,197.4,28,62
4261,99.4,28.32,60
4594,160.6,30,62
4811,176,28.9,59
4447,268.1,24.8,96
5414,117.55,35.45,32
6024,162.7,21.11,48
514,165.8,20.6,69
3139,127,39.84,47
455,154.9,35.15,72
3978,203.78,37.82,60
1035,175.2,26.08,60
3908,163.4,27.3,64
1603,115.2,31.6,45
1947,160,20,52
4841,145.6,29.6,59
1790,115.2,32.08,45
5402,166.2,25.1,93
4827,155.9,33.3,56
231,178,41.2,53
4235,137,12.1,58
4665,156.688,38.5,57
4342,178.7,24.6,65
3738,166.4,38.4,59
3069,195,38.16,57
3416,176,25.04,59
2970,114.4,31.05,46
4770,190,31,61
3248,193,37,60
1459,179.6,30.78947368,79
3807,152.2,20.5,61
1069,213.59,24.57,56
1958,175.2,27.5,59
1554,172.2,28.62,58
1405,151.4,22.2,74
3864,199,38,69
3330,112.48,17.12,61
2887,159.8,18.04,58
2876,105.2,13.5,49
2794,97,15,60
3141,135.6,34.4,49
1766,100.4,20.8,66
3689,141.75,32,54
5573,130.8,37.3,81
5136,125.2,31.6,51
252,162,37.2,44
1825,100.1,22.6,42
3577,160,32,68
3575,183.6,33.7,74
3421,147,33.6,61
1504,125.4,29.18,48
3754,163,22.4,69
3393,164.8,22.3,46
1054,193.6,34.56,61
1453,209.2,34.7,73
3445,180,35.88,61
5641,123.6,26.2,55
1195,140.1,14.7,64
1507,129,37,50
4183,169.792,35.8,65
5475,112.7,36.68,36
2562,170.7,35.2,68
5943,144.2,23.7,56
585,119.2,17.5,39
607,133,19.7,52
2358,160.9,28.25,59
1403,116.6,32.9,57
2293,147.1,29.2,68
5673,132.9333333,21.13333333,61
4607,159.992,21.12,60
1364,178.4,27.8,65
487,273.4,26.2,65
3625,141.82,13.6,79
6006,155.8,33.26,47
4771,107.53,29.32,67
4241,138.8,28.2,39
5149,125.4,29.2,55
4066,181.3,25.3,85
4298,188.3,31.8,61
3110,138,30.5,50
4801,133.8,23.27,57
1124,225.2,37.76,68
4918,134.8,29.27,55
705,88.2,23.9,26
4085,196.2,34.8,62
5696,126.4,18.8,57
2768,89.6,18.9,73
3452,148.33,35.26,53
1952,162,15,53
5064,151.8,19.4,70
1709,90,17.4,49
5914,119.9,23.9,64
3070,137.4,41.68,61
221,169,27.2,45
5439,141.6,39.38,38
728,185.4,32.4,51
4977,189.27,24.8,56
2836,95.6,20.6,69
1392,146.3,39.3,80
1060,163.8,30.3,68
3054,178.02,31.3,59
2394,163,17.6,66
792,145.7,16.3,55
576,143.2,30.5,38
2450,186.2,41.2,64
55,121,27.4,79
4082,189.7,26,81
2674,85.4,20.3,61
308,144.8,28.8,46
2930,113,24.4,61
3778,144.9,25.28,56
1569,145,19.18,72
4102,165.1,22.9,74
1062,197.2,29.24,59
1836,113,14.4,61
4251,128.6,29.6,52
552,131,27.8,63
4300,166,33.78,86
238,172.8,39.6,51
4644,125.8,22.6,61
5626,132,18.8,57
4624,157.4,31.8,64
1536,138.6,29.5,51
4078,193.4,26.5,55
566,125.2,37.2,43
4857,161,29.4,84
1936,188,21.3,71
176,131.4,33.6,53
1332,177.2,35.2,64
4478,119.2,33.6,64
3403,176,26.7,45
1823,154.6,25,41
4296,180.5,33.6,64
433,128.8,27.4,62
106,171.5,23.1,63
1529,165.8,26.3,48
4195,123.1,21.83,58
3293,170.4,34.6,60
4520,156.5,29.5,60
5332,166.4,26.25,89
