"GBSid","PH","LW","FT"
480,174.6,34.4,66
1004,149.3,31.8,59
2928,125.2,27.3,105
729,155.9,19.4,75
1437,202.5,35.46,71
4857,161,29.4,84
3449,156,27.38,52
3286,215.4,29.6,55
5347,143.2,20.6,48
1314,205.8,37,69
2596,122.6,33.2,48
826,167.4,20.8,65
4114,188.4,21,72
768,135.8,34.4,46
1588,126,25.8,60
1127,121.03,27.04,44
1050,193,35.5,57
30,147.8,29.73,61
4150,181.3,20.8,84
5325,136.824,21.595,44
409,151.2,26.34,59
5223,170,28.3,65
2523,150.4,31.1,55
1679,166,34,48
3781,230.8,28.76,88
3762,174.6,31.9,61
3941,179.5,24.4,64
2369,145,34.6,62
1858,155,27.1,55
4097,178,20.6,68
4515,153.9,28.5,62
520,159.6,19.9,58
2671,130,23.5,58
5180,164.4,41.4,59
2131,184.6,32.06,75
1699,149.2,14.9,60
1104,142,35.83333333,60
5934,101.4,24.8,49
1698,112,26.8,54
3730,119.9,31.8,50
2814,141.02,30.06,89
2935,111.6,23.6,73
5163,139.3,20.7,62
2330,165.8,27.5,62
4478,119.2,33.6,64
592,124.4,27.94,43
4121,173.6,26.4,60
4495,164.87,21,59
4659,165,28,60
382,70.8,24.2,42
1996,156.8,35,72
1838,87.54,20.6,41
1520,133.2,31.14,51
549,150,30.5,86
2237,141.7,29.6,56
3230,129.6,37,49
1502,121.4,12.6,31
1616,92.8,22.7,43
5967,161.4,23.05,41
3355,160.8,30.8,46
3146,119.6,35.3,47
71,198.4,30.1,61
2027,123.4,24.5,68
3916,164,27.16,61
1148,120.9,23.9,62
2535,168,33.74,56
1960,133.4,19.56,64
3952,164.8,22.1,56
4940,147.07,35.87,67
4158,116.3,17.6,67
2693,129.2,19.4,51
111,236.2,31.3,65
4315,148.3,30.5,48
4331,192.53,31.73,52
5548,136.6,22.3,90
4583,191.4,28.8,67
84,160.4,26.9,51
3976,139.53,34.61,58
2361,143.07,33.2,63
455,154.9,35.15,72
297,137,23.1,52
1293,164.4,20.6,68
174,189.6,41.8,66
745,146.3,34.2,70
1985,178.32,20.02,60
5643,112.6,24.8,78
383,169,27.8,53
2571,172.84,32.86,68
4644,125.8,22.6,61
4258,144.2,34.7,58
1316,174.6,31.5,60
1563,143.8,32.28,55
1145,148.6,21.5,53
2136,197.2,32.3,64
3322,160.42,25.92,60
4170,116.2,31.3,49
849,175.2,21.1,79
1190,161.3,16.3,67
5648,114.2,18.7,61
4680,161.1,30.7,60
4249,147.3,33,90
4385,156.4,36.5,73
4131,149,36.8,73
3207,148.8,36.2,46
639,169,18.4,39
3935,127.06,25.86,56
853,167.8,21.6,80
4992,150.352,23.87,60
5029,128.2,18.53,63
2899,153.4,26.72,55
2028,127.8,21.9,50
1817,154.2,19.2,44
330,134,31,61
4297,173.73,36.96,74
4227,107.4,27.48,47
1710,172.77,33.5,68
3763,163,19.7,56
5752,157.6666667,21.26666667,63
3492,199.65,25.7,64
3365,142.2,23.1,52
482,184.8,29.5,54
4678,189.8,28.5,64
2327,162.25,32.1,69
1051,189.4,34.7,60
2258,176.4,24.2,60
4008,120.4,16.2,49
2529,189,38.1,62
4559,159.8,41,74
1575,175.2,31.88,57
4851,161,31.3,63
1770,104,18.8,50
2448,150.8,28.1,66
428,161.5,30.5,63
1854,146,30,54
4724,148.7,30,50
4381,179.9,31.5,66
1931,191.6,17.7,65
466,178.2,32.7,63
5947,82.7,25.9,47
1962,154.6,31.8,60
375,150.4,30.2,61
1430,199.5,41.1,74
1631,146.6,25.8,56
4652,138.1,21.2,67
5940,186.1,26.5,64
5222,243.5,31.35,66
1883,209.2,23.6,67
3810,169.6,28.2,66
5579,179.5,30.5,73
2500,186.35,32.75,66
821,149,18.6,66
5576,152.3,27.1,86
781,125.3,16.6,60
1792,139.8,31.32,47
2479,157.024,33.98421053,54
3739,151.2,36.6,62
2449,158,23.3,68
994,185,33.6,56
2329,163.59,29.6,61
1120,164.35,30.8,70
3927,155.86,29.17333333,63
4133,154.1,16.14,68
2659,103,10.6,62
1114,225.2,34.62,59
3290,197.6,28.8,56
401,98.75,26.5,41
54,123.2,30.1,60
426,181.678,28.2,83
4327,141,27.6,45
1060,163.8,30.3,68
708,161.4,25.2,72
2690,161.64,24.56,40
1330,192,31.34,61
1901,162,19,47
673,142.6,18,46
2643,153,38.6,76
4301,167.67,33.13,76
4665,156.688,38.5,57
3151,125,32.2,49
3361,189.4,23.8,52
2966,117.857,20.71,55
4373,145.09,26.3,65
5098,136.6,23.5,52
12,172.99,25.2,53
783,119.7,16.9,57
3535,204.5,25.55,65
3306,181,31.4,56
4125,133.8,32.5,39
5637,65,31,113
4792,142.93,35.67,82
4051,168.6,31.4,61
4188,141.3,12.7,62
4304,166.4,34.35,69
3323,181.72,21.9,54
5740,164,27.4,60
2461,153.8,29.5,62
4605,157.2,19,64
3825,185.2,32.8,61
5696,126.4,18.8,57
4243,185.4,34.2,75
2584,152,26.32,61
45,155.4,31.2,65
5960,173,23.57,48
2126,159.56,26.82,53
4578,208.8,34.73,74
138,149.5,21,60
5276,153.4,29,63
4742,184,24.15,81
1944,156,19,47
2266,160.4,33.98,62
470,131.5333333,35.05333333,80
2604,104.5,35.3,41
2579,146.8,28.6,61
615,111.6,24.1,64
410,145.6,30.06,54
184,138.2,24.2,60
5183,137,15,58
1472,143,33.08,54
1465,149,23.5,59
3385,173.8,24.2,50
5225,177.5,36,87
1357,180,23.2,78
1668,126,22.2,59
2277,160.8,27.8,70
1585,178.6,28.64,63
2349,140.6,33.28,65
5271,162.7,26.2,70
6010,163.65,31.02,45
4786,139.13,27.6,76
4211,154.4,34.5,63
1507,129,37,50
1741,183,24.6,67
31,133.5,21.9,51
4406,146.6,29.24,62
1364,178.4,27.8,65
1731,114,20.6,68
5745,143.6666667,21.6,50
215,162.6,29.6,53
3989,174.16,33.18,65
2052,178.3,27.36,63
2438,172.17,38.74,63
4779,181.7,33.1,60
4486,168.7,26.9,62
3881,101.6,20.8,49
1073,155.8,33.96,66
1848,141.6,28.61,47
2341,145.1,24.65,56
434,158.4,31.2,63
4622,177.4,32,61
2641,120,10,73
1515,125,27.6,48
1017,178.27,33.45720259,60
542,148.2,18.36,51
2624,104.6,28.8,45
4477,139.12,13.9,69
364,70.6,26.4,43
4879,169,33.2,65
5331,125.8,21.1,58
4917,150.01,28.4,77
5224,153.4,23.9,59
3987,169.8,36.5,63
2574,235.5,27.14,77
4184,111,27.1,50
2955,135.5,30.95,53
1256,59.6,15,71
4608,129.26,18.86,60
1030,138.8,20.74,57
4284,166.5,34.9,61
80,153.9333333,35.9,56
1727,84,13.8,46
5993,107.6,21.54,28
529,175.56,21.34,79
76,123.3,31.8,65
2256,166.4,31,69
1362,214,38.5,62
1366,150,29.4,66
4823,185,33.8,57
3424,92.4,17.9,61
2747,120,24,63
2809,111.6,19.2,70
5660,128.8,23.9,47
2022,142,14.66,65
5952,NA,NA,NA
3936,119.4,22.1,46
1717,145,14.3,68
4404,172.7,33.26,59
5280,153.9,29.6,60
534,156.6,26.75,56
1604,126.8,38.9,63
5759,216.3333333,22.66666667,60
5721,120.6666667,18.6,61
730,128.3,28,71
3444,145,8.5,60
4927,132.4,22.93,64
5997,195,23.4,51
25,133.2,26.9,58
1329,125.34,24.84,55
4755,192.3,26.65,62
3266,172.6,30.6,56
2536,148.6,30.06,56
3767,172,28.8,60
2153,155.8,19.1,60
3759,226,32.5,62
3733,179.6,28.88,59
816,168.8,20,54
1694,144,12.5483871,71
294,135.4,22.6,47
278,153.6,26.2,60
224,147.8,21.8,60
1557,112,19.9,60
3060,177.2,37.68,55
5626,132,18.8,57
2672,114,13,66
3871,108.4,19,48
3203,125,33.96,39
4230,165.3,40.4,60
1276,144,25.1,57
5464,111.9,19.72,37
3338,155.36,18.82,59
421,152.7,28.8,63
1669,150,13.6,66
810,193.4,22,64
5035,148.4,26.4,50
300,139.6,24.6,58
4286,158,35.2,63
2691,154.8,23.7,56
3097,117.6,41.2,43
3727,141.5,26.4,60
800,115,20.9,58
2885,91,16.4,69
3850,140.4,21.7,60
3531,36,12.3,45
4001,133.6,17.6,75
267,145.8,24.2,62
3836,189,28.7,52
4259,122.2,17.67,63
242,174.6,43.6,50
2635,170.2,28.6,66
2285,163.8,23.8,57
3923,212.2,26.78,59
776,166.2,35.2,51
5128,151.68,20.2,71
3179,156.4,36.4,48
785,100,22.6,44
2130,144.2,21.04,53
1764,99,18.2,70
354,106.2,31.6,53
6051,134,25.7,49
6021,197,23.66666667,52
4912,127.07,27.8,53
807,170.2,21.4,62
2755,98.02,30.7,61
2525,187.8,30.56,58
3106,139.4,38.4,47
52,116,34.6,66
808,187,22.3,69
2696,102.4,20.92,86
2790,91.6,13,62
20,129,24.8,51
4760,173.1,34.4,62
1203,160.4,24.6,69
1236,165.7,27.4,66
736,127.4,28.5,53
5368,134.3,30.75,74
618,138,24.3,58
3003,129.8423077,34.5,40
2229,84.3,10.3,37
1702,165,27.7,62
747,129,21.5,57
2390,155,21,68
3644,184,41.9,69
4834,157.4,36,63
3329,163.12,32.6,71
3049,122.72,29.16,66
450,123.4,20.6,47
2520,153.8,36.3,59
2763,92.5,20,39
488,138.6,31.2,51
4066,181.3,25.3,85
2675,178,30.1,53
3798,151.8,33.6,59
2709,85.8,9.4,65
775,126.9,23.2,50
6012,152.6,31.23,46
476,202,35.6,68
4246,154,29.6,72
1870,154.8,19.7,75
4662,191,28,61
679,91.6,16,16
1504,125.4,29.18,48
765,129.2,20.3,50
4273,146.3,17.7,60
46,164.4,31.6,55
4260,134.2,32.1,71
128,171.6,24.8,73
2728,113,24.4,75
4954,154.13,33.73,56
396,104.4,27.8,61
4074,172.8,36.35,86
3649,234.6,30.4,78
10,139,27.73,52
2263,171.7,21.4,68
5250,186.8,33.4,66
3046,144.6,35.64,65
4204,176.8,18.3,51
4648,132.4,24.2,72
2100,156.58,27.36,53
5580,189.3,32.7,83
