"GBSid","PH","LW","FT"
4837,174.4,27,61
1627,111.4,11.43589744,50
3907,122.6,28.4,59
3262,177.8,28.2,58
5479,135.7,34.47,40
253,174.4,39.8,49
422,185.3,30.6,65
2674,85.4,20.3,61
580,143.8,30,47
3200,120.75,37.5,30
1799,79.6,11.6,NA
1417,214.8,26.9,77
1820,152.2,31.2,48
1101,197.4,30.7,57
4198,133.3,27.6,60
325,122.4,22.4,64
2812,148.24,29.28,69
1801,137.8,28.4,43
116,183.4,37.8,69
4178,155.6,26,62
351,158,32.8,55
4166,224.3,29.2,65
2069,126.2,40.82,63
3978,203.78,37.82,60
4688,181.1,35.1,71
5712,123.6666667,22.53333333,61
2592,129.6,25.5,50
230,163.2,35.76470588,50
846,174.2,15.28571429,67
2765,86,12,39
4955,154,29,65
3376,161.6,28.7,59
2132,144.6,30.2,51
2824,110.6,12.2,61
3818,158.6,24.44,63
2513,174,19.2,65
4252,90,32.6,79
3771,145.4,22.6,56
3706,125.6,25.2,65
5330,152.712,9.75,51
1438,172,32.75,64
4985,157.87,21.4,77
3415,147,30.1,54
4704,143.47,22.5,71
1090,161.26,33.23,70
1639,120.2,21.4,51
1915,194.8,20.2,63
399,161,21.8,56
2804,164,24.2,47
1563,143.8,32.28,55
3676,162,29.5,75
311,126.2,30.8,48
4336,246.33,33.67,66
5696,126.4,18.8,57
1629,84,12.8,59
2777,146.4,16,67
1294,160.4,23.93,61
4540,144.07,34.63,73
4654,128.5,21.7,68
5450,143.35,26.46,38
4754,175.7,27.2,69
5321,110.2,18.9,59
4690,191,32.5,68
1017,178.27,33.45720259,60
3256,200.8,28.2,58
3196,139.2,39.8,50
2520,153.8,36.3,59
4596,186.1,28,59
1116,197.4,31.22,56
280,200,39.8,54
3008,115.38,26.88,55
1905,155.2,15.18,71
4893,127.63,18.87,80
2660,88,12.4,59
5526,123.6,29.2,78
1176,172,35.9,56
1803,105.6,21.6,89
5720,126.3333333,24.6,61
1763,88,16.6,71
4895,114.47,24.73,53
4249,147.3,33,90
2085,157.26,28.08,53
4555,214.6,34.68,95
545,142,27.3,44
4392,166.4,30.66,57
172,161.6,35.2,61
4467,153,42.45,70
4498,155,29.22,61
2481,170.6,35.3,59
2446,188.2,16.7,62
2907,138.4,28.4,64
1656,157.4,32.8,45
4814,131.53,25.86,66
5211,176,41.2,65
4231,94.2,23.78,47
2891,136.2,20.7,52
303,142,28.6,62
3005,131.36,24.5,48
3252,179.8,17.33333333,69
4400,172,44.95,75
2490,178.41,31.45,70
2613,95.4,33.8,46
13,172,27.76,58
453,100.9,36.5,53
4584,180.12,39.9,81
2477,195,38.04,55
5365,110.755,22.2,53
117,177.6,39.08,59
2671,130,23.5,58
443,153.3,22.9,61
321,89.8,25.6,43
2385,115,7.9,58
1703,152,21,65
4245,145.2,36.4,48
1292,103.73,23,56
2163,159.466,37.76666667,58
2557,125.995,21.5,72
3115,128,40.7,47
4712,116.3,37.3,64
808,187,22.3,69
606,122.6,23.6,49
4160,162,38,59
304,154,29.3,57
725,161.7,26.7,63
4259,122.2,17.67,63
2507,144,26.6,61
