"GBSid","PH","LW","FT"
386,142.4,25.8,52
4547,166,28.8,60
2968,93.6,13.27,48
4893,127.63,18.87,80
27,141.67,28.13,50
11,176.4,29.82,58
5623,114.5333333,19.8,61
3405,130.4,22.2,44
2133,151.6,30.84,65
4194,91.4,23.48,40
5135,125.6,20.6,61
3072,120.4,31.56,69
2056,151.4,29.8,68
4087,169.7,25,54
3337,134.58,24.5,56
3112,121.64,37.06,27
1925,153,28,54
5159,164.88,33.8,76
4558,157.4,24.7,67
1991,189,27.1,61
1475,165.4,27.44,58
4307,141.4,35.92,58
2430,115,17.2,68
4516,154,31.78,66
845,140,45,70
4796,118.33,22.6,57
3908,163.4,27.3,64
2497,191.8,34.16,70
627,118,21.3,51
5374,150.7,28.8,68
2452,177.8,35.8,74
1625,118.5,12.27777778,57
284,156,36.6,60
648,122.6,23.3,51
37,139.466,39.56666667,51
4187,107,10.11,56
2965,91.05,36.7,59
4219,148.4,35.5,60
351,158,32.8,55
1758,97,19.6,48
83,233.6,33.1,65
4736,187.574,26.95,63
5098,136.6,23.5,52
1063,169,28.72,55
4543,204.02,21.9,85
2284,158.5,23.3,67
3383,148.12,16.27179487,56
2335,172,29.6,57
2794,97,15,60
1542,126,26.46,58
4982,165.47,26.27,79
2935,111.6,23.6,73
2787,135,19.2,67
5411,170,25,67
821,149,18.6,66
5072,215,20.4,84
4234,140.1,12.2,50
2386,101,19.8,65
1197,104.92,15.46,48
2760,129.2,30.84,59
3902,121.8,12.85,61
3421,147,33.6,61
3885,102,16.8,51
2696,102.4,20.92,86
5988,136.4,24.35,44
3999,147,30.2,61
1585,178.6,28.64,63
3686,210.6,37.6,62
1085,187.375,36.12,69
223,150,24.1,68
3831,183.2,15.32,51
5238,129.4,23,70
5464,111.9,19.72,37
3980,152,35.2,61
383,169,27.8,53
658,139.9,22.4,53
3995,159.4,29.6,68
1326,147.4,26.4,60
1779,100,18.4,51
5438,122.7,41.27,35
3407,126.48,20.06,57
